Game,Console,Developer,Country
Psychonauts,PS4,Double Fine Productions,USA
Psychonauts 2,PS4,Double Fine Productions,USA
Pumped BMX+,PS4,"Yeah, Us!",England
Putty Squad,PS4,System 3 Software,England
Quake,PS4,id Software,USA
Quest Of Dungeons,PS4,Upfall Studios,Portugal
Rally Copters,PS4,Depth First Games,USA
Ratchet & Clank (2016),PS4,Insomniac Games,USA
Rayman Legends,PS4,Ubisoft Montpellier,France
Red Dead Redemption 2,PS4,Rockstar Studios,USA
Red Dead Revolver,PS4,Rockstar San Diego,USA
Resident Evil 0,PS4,Capcom,Japan
Resident Evil (2002),PS4,Capcom,Japan
Resident Evil 4 (2005),PS4,Capcom,Japan
Resident Evil 5,PS4,Capcom,Japan
Resident Evil 6,PS4,Capcom,Japan
Resident Evil Revelations,PS4,Capcom,Japan
Resident Evil Revelations 2,PS4,Capcom,Japan
Resident Evil: Re:Verse,PS4,Capcom,Japan
Resident Evil: Resistance,PS4,Capcom,Japan
RESOGUN,PS4,Housemarque,Finland
Retro City Rampage DX,PS4,Vblank Entertainment,Canada
Riptide GP: Renegade,PS4,Vector Unit,USA
Rise Of The Tomb Raider,PS4,Crystal Dynamics,USA
Risk Of Rain,PS4,Hopoo Games,USA
Road Redemption,PS4,EQ-Games,USA
Rock Boshers DX: Director's Cut,PS4,Tikipod,England
Rocket League,PS4,Psyonix,USA
Rocketbirds 2: Evolution,PS4,Ratloop Asia,Singapore
Rogue Legacy,PS4,Cellar Door Games,Canada
Rollercoaster Dreams,PS4,Bimboosoft,Japan
Saban's Mighty Morphin Power Rangers: Mega Battle,PS4,Bamtang Games,Peru
Saints Row IV: Gat out of Hell,PS4,High Voltage Software,USA
Saints Row IV: Re-Elected,PS4,High Voltage Software,USA
Sam and Max Season 1: Save The World TTG,PS4,Telltale Games,USA
Sam and Max Season 2: Beyond Time and Space TTG,PS4,Telltale Games,USA
Scott Pilgrim vs The World: The Game,PS4,Ubisoft Montreal,Canada
Scribblenauts Mega Pack,PS4,5th Cell,USA
